n_clients,n_rounds,n_corrupt_clients,model,attack,defense,accusations,loss,accuracy
10,30,0,CNN,No attack,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.116492027672716,0.613
11,30,1,CNN,No attack,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.0863106366925346,0.6215
12,30,2,CNN,No attack,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1081101812493688,0.6105
13,30,3,CNN,No attack,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1392021108740054,0.5949
14,30,4,CNN,No attack,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1581111154236352,0.5902
10,30,0,CNN,No attack,Norm ball,"[0, 1, 1, 1, 0, 0, 1, 0, 1, 1]",1.201976990547424,0.5966
11,30,1,CNN,No attack,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1416293068434864,0.5947
12,30,2,CNN,No attack,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1100450240004176,0.6076
13,30,3,CNN,No attack,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1405232758186876,0.597
14,30,4,CNN,No attack,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.1425028517604254,0.5948
10,30,0,CNN,Sign flipping,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.319978577069962,0.5886
11,30,1,CNN,Sign flipping,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.671107270466253,0.4985
12,30,2,CNN,Sign flipping,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.0946855381273997,0.3448
13,30,3,CNN,Sign flipping,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.302635732169349,0.1
14,30,4,CNN,Sign flipping,No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.302607841004198,0.1
10,30,0,CNN,Sign flipping,Norm ball,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30]",1.319978577069962,0.5886
11,30,1,CNN,Sign flipping,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0]",1.660287100667009,0.5069
12,30,2,CNN,Sign flipping,Norm ball,"[19, 19, 22, 19, 19, 19, 19, 22, 19, 19, 19, 19]",1.6463988916561627,0.3866
13,30,3,CNN,Sign flipping,Norm ball,"[19, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0]",2.1977951450469777,0.2415
14,30,4,CNN,Sign flipping,Norm ball,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.302604657011672,0.1
10,30,0,CNN,Scaling (factor=2.5),No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.4432977432260117,0.5785
11,30,1,CNN,Scaling (factor=2.5),No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2.418028797204502,0.1001
12,30,2,CNN,Scaling (factor=2.5),No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",nan,0.1
13,30,3,CNN,Scaling (factor=2.5),No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",nan,0.1
14,30,4,CNN,Scaling (factor=2.5),No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",nan,0.1
10,30,0,CNN,Scaling (factor=2.5),Norm ball,"[30, 30, 30, 30, 30, 30, 30, 30, 30, 30]",1.4432977432260117,0.5785
11,30,1,CNN,Scaling (factor=2.5),Norm ball,"[0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0]",1.1543285589629468,0.5992
12,30,2,CNN,Scaling (factor=2.5),Norm ball,"[0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 27]",1.2040370348543405,0.573
13,30,3,CNN,Scaling (factor=2.5),Norm ball,"[0, 27, 0, 1, 27, 0, 27, 1, 1, 0, 0, 1, 1]",1.259695785495039,0.5601
14,30,4,CNN,Scaling (factor=2.5),Norm ball,"[28, 0, 0, 0, 28, 0, 28, 0, 0, 0, 0, 28, 0, 0]",1.2555213682948592,0.5573
10,30,0,CNN,"Gaussian noise (mu=0.0, sigma=0.5)",No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.552454072446488,0.5623
11,30,1,CNN,"Gaussian noise (mu=0.0, sigma=0.5)",No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.5531307451260357,0.4386
12,30,2,CNN,"Gaussian noise (mu=0.0, sigma=0.5)",No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.7636933258166327,0.3535
13,30,3,CNN,"Gaussian noise (mu=0.0, sigma=0.5)",No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.8747733420076462,0.294
14,30,4,CNN,"Gaussian noise (mu=0.0, sigma=0.5)",No defense,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.90138291131955,0.2819
10,30,0,CNN,"Gaussian noise (mu=0.0, sigma=0.5)",Norm ball,"[29, 29, 29, 29, 29, 29, 29, 29, 29, 29]",1.4515587847453717,0.5672
11,30,1,CNN,"Gaussian noise (mu=0.0, sigma=0.5)",Norm ball,"[0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0]",1.1150854054731303,0.6118
12,30,2,CNN,"Gaussian noise (mu=0.0, sigma=0.5)",Norm ball,"[0, 0, 0, 30, 0, 0, 0, 30, 0, 0, 0, 0]",1.1345823319575277,0.5999
13,30,3,CNN,"Gaussian noise (mu=0.0, sigma=0.5)",Norm ball,"[0, 0, 30, 0, 0, 0, 0, 30, 0, 0, 30, 0, 0]",1.1949568387037648,0.5778
14,30,4,CNN,"Gaussian noise (mu=0.0, sigma=0.5)",Norm ball,"[30, 30, 0, 0, 30, 30, 0, 0, 0, 0, 0, 0, 0, 0]",1.2214747486403956,0.5684
